date,league,home_team,away_team,score
2014-04-12,Bundesliga,Wolfsburg,Nürnberg,4–1
2014-04-12,Bundesliga,Freiburg,Braunschweig,2–0
2014-04-12,Bundesliga,Mainz 05,Werder Bremen,3–0
2014-04-12,Bundesliga,Hannover 96,Hamburger SV,2–1
2014-04-12,Bundesliga,Gladbach,Stuttgart,1–1
2014-04-13,Bundesliga,Hoffenheim,Augsburg,2–0
2014-04-13,Bundesliga,Leverkusen,Hertha BSC,2–1
2014-04-17,Bundesliga,Eint Frankfurt,Hannover 96,2–3
2014-04-19,Bundesliga,Augsburg,Hertha BSC,0–0
2014-04-19,Bundesliga,Freiburg,Gladbach,4–2
2014-04-19,Bundesliga,Hamburger SV,Wolfsburg,1–3
2014-04-19,Bundesliga,Braunschweig,Bayern Munich,0–2
2014-04-19,Bundesliga,Werder Bremen,Hoffenheim,3–1
2014-04-19,Bundesliga,Dortmund,Mainz 05,4–2
2014-04-20,Bundesliga,Nürnberg,Leverkusen,1–4
2014-04-20,Bundesliga,Stuttgart,Schalke 04,3–1
2014-04-25,Bundesliga,Hannover 96,Stuttgart,0–0
2014-04-26,Bundesliga,Leverkusen,Dortmund,2–2
2014-04-26,Bundesliga,Wolfsburg,Freiburg,2–2
2014-04-26,Bundesliga,Mainz 05,Nürnberg,2–0
2014-04-26,Bundesliga,Hoffenheim,Eint Frankfurt,0–0
2014-04-26,Bundesliga,Hertha BSC,Braunschweig,2–0
2014-04-26,Bundesliga,Bayern Munich,Werder Bremen,5–2
2014-04-27,Bundesliga,Augsburg,Hamburger SV,3–1
2014-04-27,Bundesliga,Schalke 04,Gladbach,0–1
2014-05-03,Bundesliga,Nürnberg,Hannover 96,0–2
2014-05-03,Bundesliga,Hamburger SV,Bayern Munich,1–4
2014-05-03,Bundesliga,Stuttgart,Wolfsburg,1–2
2014-05-03,Bundesliga,Dortmund,Hoffenheim,3–2
2014-05-03,Bundesliga,Freiburg,Schalke 04,0–2
2014-05-03,Bundesliga,Eint Frankfurt,Leverkusen,0–2
2014-05-03,Bundesliga,Gladbach,Mainz 05,3–1
2014-05-03,Bundesliga,Werder Bremen,Hertha BSC,2–0
2014-05-03,Bundesliga,Braunschweig,Augsburg,0–1
2014-05-10,Bundesliga,Hannover 96,Freiburg,3–2
2014-05-10,Bundesliga,Augsburg,Eint Frankfurt,2–1
2014-05-10,Bundesliga,Hertha BSC,Dortmund,0–4
2014-05-10,Bundesliga,Mainz 05,Hamburger SV,3–2
2014-05-10,Bundesliga,Wolfsburg,Gladbach,3–1
2014-05-10,Bundesliga,Bayern Munich,Stuttgart,1–0
2014-05-10,Bundesliga,Schalke 04,Nürnberg,4–1
2014-05-10,Bundesliga,Leverkusen,Werder Bremen,2–1
2014-05-10,Bundesliga,Hoffenheim,Braunschweig,3–1
2014-08-22,Bundesliga,Bayern Munich,Wolfsburg,2–1
2014-08-23,Bundesliga,Hoffenheim,Augsburg,2–0
2014-08-23,Bundesliga,Hannover 96,Schalke 04,2–1
2014-08-23,Bundesliga,Köln,Hamburger SV,0–0
2014-08-23,Bundesliga,Eint Frankfurt,Freiburg,1–0
2014-08-23,Bundesliga,Hertha BSC,Werder Bremen,2–2
2014-08-23,Bundesliga,Dortmund,Leverkusen,0–2
2014-08-24,Bundesliga,Paderborn 07,Mainz 05,2–2
2014-08-24,Bundesliga,Gladbach,Stuttgart,1–1
2014-08-29,Bundesliga,Augsburg,Dortmund,2–3
2014-08-30,Bundesliga,Wolfsburg,Eint Frankfurt,2–2
2014-08-30,Bundesliga,Hamburger SV,Paderborn 07,0–3
2014-08-30,Bundesliga,Stuttgart,Köln,0–2
2014-08-30,Bundesliga,Leverkusen,Hertha BSC,4–2
2014-08-30,Bundesliga,Werder Bremen,Hoffenheim,1–1
2014-08-30,Bundesliga,Schalke 04,Bayern Munich,1–1
2014-08-31,Bundesliga,Mainz 05,Hannover 96,0–0
2014-08-31,Bundesliga,Freiburg,Gladbach,0–0
2014-09-12,Bundesliga,Leverkusen,Werder Bremen,3–3
2014-09-13,Bundesliga,Bayern Munich,Stuttgart,2–0
2014-09-13,Bundesliga,Hertha BSC,Mainz 05,1–3
2014-09-13,Bundesliga,Hoffenheim,Wolfsburg,1–1
2014-09-13,Bundesliga,Dortmund,Freiburg,3–1
2014-09-13,Bundesliga,Paderborn 07,Köln,0–0
2014-09-13,Bundesliga,Gladbach,Schalke 04,4–1
2014-09-14,Bundesliga,Eint Frankfurt,Augsburg,0–1
2014-09-14,Bundesliga,Hannover 96,Hamburger SV,2–0
2014-09-19,Bundesliga,Freiburg,Hertha BSC,2–2
2014-09-20,Bundesliga,Stuttgart,Hoffenheim,0–2
2014-09-20,Bundesliga,Schalke 04,Eint Frankfurt,2–2
2014-09-20,Bundesliga,Hamburger SV,Bayern Munich,0–0
