date,league,home_team,away_team,score
2001-01-27,Bundesliga,Freiburg,Unterhaching,2–0
2001-01-27,Bundesliga,Eint Frankfurt,Köln,1–5
2001-01-27,Bundesliga,Dortmund,Energie Cottbus,2–0
2001-01-27,Bundesliga,Bayern Munich,Bochum,3–2
2001-01-27,Bundesliga,Werder Bremen,1860 Munich,2–0
2001-01-28,Bundesliga,Leverkusen,Stuttgart,4–0
2001-01-28,Bundesliga,Hamburger SV,Hertha BSC,1–2
2001-02-02,Bundesliga,1860 Munich,Dortmund,1–0
2001-02-03,Bundesliga,Stuttgart,Kaiserslautern,6–1
2001-02-03,Bundesliga,Energie Cottbus,Schalke 04,4–1
2001-02-03,Bundesliga,Bochum,Hertha BSC,1–3
2001-02-03,Bundesliga,Werder Bremen,Hamburger SV,3–1
2001-02-03,Bundesliga,Köln,Freiburg,0–1
2001-02-03,Bundesliga,Wolfsburg,Bayern Munich,1–3
2001-02-04,Bundesliga,Unterhaching,Leverkusen,1–2
2001-02-04,Bundesliga,Hansa Rostock,Eint Frankfurt,0–2
2001-02-09,Bundesliga,Eint Frankfurt,Energie Cottbus,1–0
2001-02-10,Bundesliga,Kaiserslautern,Unterhaching,4–0
2001-02-10,Bundesliga,Bayern Munich,Stuttgart,1–0
2001-02-10,Bundesliga,Leverkusen,Köln,4–1
2001-02-10,Bundesliga,Hamburger SV,Bochum,3–0
2001-02-10,Bundesliga,Schalke 04,1860 Munich,2–0
2001-02-10,Bundesliga,Hertha BSC,Wolfsburg,1–3
2001-02-11,Bundesliga,Freiburg,Hansa Rostock,0–0
2001-02-11,Bundesliga,Dortmund,Werder Bremen,0–0
2001-02-16,Bundesliga,1860 Munich,Eint Frankfurt,2–2
2001-02-17,Bundesliga,Energie Cottbus,Freiburg,0–2
2001-02-17,Bundesliga,Wolfsburg,Bochum,0–0
2001-02-17,Bundesliga,Werder Bremen,Schalke 04,2–1
2001-02-17,Bundesliga,Unterhaching,Bayern Munich,1–0
2001-02-17,Bundesliga,Dortmund,Hamburger SV,4–2
2001-02-17,Bundesliga,Hansa Rostock,Leverkusen,2–1
2001-02-18,Bundesliga,Köln,Kaiserslautern,0–1
2001-02-18,Bundesliga,Stuttgart,Hertha BSC,0–1
2001-02-23,Bundesliga,Leverkusen,Energie Cottbus,1–3
2001-02-24,Bundesliga,Freiburg,1860 Munich,0–3
2001-02-24,Bundesliga,Hamburger SV,Wolfsburg,3–2
2001-02-24,Bundesliga,Eint Frankfurt,Werder Bremen,1–2
2001-02-24,Bundesliga,Schalke 04,Dortmund,0–0
2001-02-24,Bundesliga,Bayern Munich,Köln,1–1
2001-02-25,Bundesliga,Bochum,Stuttgart,0–0
2001-02-25,Bundesliga,Kaiserslautern,Hansa Rostock,0–1
2001-03-02,Bundesliga,Dortmund,Eint Frankfurt,6–1
2001-03-03,Bundesliga,Energie Cottbus,Kaiserslautern,0–2
2001-03-03,Bundesliga,Stuttgart,Wolfsburg,2–1
2001-03-03,Bundesliga,Unterhaching,Bochum,2–1
2001-03-03,Bundesliga,Köln,Hertha BSC,1–0
2001-03-03,Bundesliga,Hansa Rostock,Bayern Munich,3–2
2001-03-03,Bundesliga,Werder Bremen,Freiburg,3–1
2001-03-04,Bundesliga,1860 Munich,Leverkusen,1–0
2001-03-04,Bundesliga,Schalke 04,Hamburger SV,0–1
2001-03-07,Bundesliga,Hertha BSC,Unterhaching,2–1
2001-03-09,Bundesliga,Leverkusen,Werder Bremen,3–0
2001-03-10,Bundesliga,Wolfsburg,Unterhaching,6–1
2001-03-10,Bundesliga,Hertha BSC,Hansa Rostock,1–0
2001-03-10,Bundesliga,Freiburg,Dortmund,2–2
